"Title: Adults Who Report Fair or Poor Health Status by Sex | KFF"
"Timeframe: 2016"
"Location","All Adults","Male","Female",Footnotes
"United States","0.178","0.169","0.186","1"
"Alabama","0.226","0.217","0.235"
"Alaska","0.138","0.131","0.147"
"Arizona","0.186","0.178","0.193"
"Arkansas","0.256","0.234","0.276"
"California","0.178","0.163","0.193"
"Colorado","0.145","0.142","0.147"
"Connecticut","0.144","0.143","0.144"
"Delaware","0.164","0.155","0.173"
"District of Columbia","0.116","0.092","0.136"
"Florida","0.195","0.186","0.203"
"Georgia","0.191","0.185","0.197"
"Hawaii","0.148","0.150","0.145"
"Idaho","0.159","0.154","0.164"
"Illinois","0.180","0.172","0.188"
"Indiana","0.185","0.176","0.193"
"Iowa","0.139","0.127","0.151"
"Kansas","0.154","0.152","0.156"
"Kentucky","0.225","0.214","0.235"
"Louisiana","0.219","0.206","0.231"
"Maine","0.164","0.168","0.160"
"Maryland","0.144","0.140","0.148"
"Massachusetts","0.141","0.142","0.139"
"Michigan","0.180","0.169","0.191"
"Minnesota","0.127","0.131","0.123"
"Mississippi","0.232","0.207","0.255"
"Missouri","0.190","0.185","0.195"
"Montana","0.156","0.152","0.159"
"Nebraska","0.147","0.138","0.155"
"Nevada","0.209","0.204","0.214"
"New Hampshire","0.141","0.145","0.136"
"New Jersey","0.175","0.168","0.183"
"New Mexico","0.217","0.196","0.237"
"New York","0.169","0.159","0.178"
"North Carolina","0.183","0.174","0.191"
"North Dakota","0.148","0.142","0.155"
"Ohio","0.180","0.174","0.185"
"Oklahoma","0.202","0.197","0.206"
"Oregon","0.164","0.164","0.164"
"Pennsylvania","0.166","0.165","0.167"
"Rhode Island","0.156","0.151","0.161"
"South Carolina","0.200","0.190","0.209"
"South Dakota","0.130","0.121","0.139"
"Tennessee","0.205","0.192","0.216"
"Texas","0.183","0.161","0.205"
"Utah","0.117","0.112","0.122"
"Vermont","0.135","0.140","0.130"
"Virginia","0.163","0.154","0.172"
"Washington","0.144","0.143","0.145"
"West Virginia","0.263","0.262","0.264"
"Wisconsin","0.160","0.165","0.155"
"Wyoming","0.157","0.154","0.159"
"Guam","0.218","0.218","0.218"
"Puerto Rico","0.343","0.290","0.390"
"U.S. Virgin Islands","0.203","0.213","0.191"

"Notes"
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2019 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set."


Footnotes
"1. US totals exclude data from the territories."
