"Title: Teen Birth Rate per 1,000 Population Ages 15-19 | KFF"
"Timeframe: 2018"
"Location","Teen Birth Rate per 1,000",Footnotes
"United States","17.4","1"
"Alabama","25.2"
"Alaska","19.3"
"Arizona","20.1"
"Arkansas","30.4"
"California","13.6"
"Colorado","14.3"
"Connecticut","8.3"
"Delaware","16.7"
"District of Columbia","19.3"
"Florida","16.7"
"Georgia","20.6"
"Hawaii","17.2"
"Idaho","16"
"Illinois","15.8"
"Indiana","21.8"
"Iowa","15.3"
"Kansas","20"
"Kentucky","27.3"
"Louisiana","27.5"
"Maine","11.1"
"Maryland","14.1"
"Massachusetts","7.2"
"Michigan","15.8"
"Minnesota","10.2"
"Mississippi","27.8"
"Missouri","21.6"
"Montana","17.2"
"Nebraska","16.7"
"Nevada","20.5"
"New Hampshire","8"
"New Jersey","10.3"
"New Mexico","25.3"
"New York","11.7"
"North Carolina","18.7"
"North Dakota","16.4"
"Ohio","18.9"
"Oklahoma","27.2"
"Oregon","13.3"
"Pennsylvania","14.1"
"Rhode Island","11.5"
"South Carolina","22"
"South Dakota","20.4"
"Tennessee","25.3"
"Texas","25.3"
"Utah","13.1"
"Vermont","8.8"
"Virginia","14.3"
"Washington","12.7"
"West Virginia","25.4"
"Wisconsin","13"
"Wyoming","20.8"
"American Samoa","N/A"
"Guam","34.4"
"Northern Mariana Islands","28.3"
"Puerto Rico","19.3"
"Virgin Islands","N/A"

"Notes"
"Data are by place of residence. Population includes females 15-19 years old."

"Sources"
"The Centers for Disease Control and Prevention (CDC), [National Vital Statistics Reports (NVSR), Vol. 68, No. 13: Births: Final Data for 2018](https://www.cdc.gov/nchs/data/nvsr/nvsr68/nvsr68_13-508.pdf), November 27, 2019."

"Definitions"
"*N/A*: Data not available."


Footnotes
"1. US teen birth rate excludes data from the territories."
