"Title: Adults Who Report Fair or Poor Health Status by Sex | KFF"
"Timeframe: 2014"
"Location","All Adults","Male","Female",Footnotes
"United States","0.178","0.168","0.187","1"
"Alabama","0.229","0.215","0.243"
"Alaska","0.134","0.121","0.149"
"Arizona","0.190","0.182","0.198"
"Arkansas","0.235","0.223","0.246"
"California","0.181","0.165","0.197"
"Colorado","0.132","0.123","0.140"
"Connecticut","0.143","0.133","0.153"
"Delaware","0.156","0.149","0.162"
"District of Columbia","0.129","0.133","0.125"
"Florida","0.193","0.176","0.208"
"Georgia","0.188","0.169","0.205"
"Hawaii","0.145","0.149","0.142"
"Idaho","0.131","0.122","0.140"
"Illinois","0.173","0.160","0.186"
"Indiana","0.189","0.177","0.201"
"Iowa","0.136","0.137","0.135"
"Kansas","0.154","0.140","0.168"
"Kentucky","0.243","0.227","0.258"
"Louisiana","0.217","0.202","0.231"
"Maine","0.151","0.153","0.148"
"Maryland","0.142","0.141","0.143"
"Massachusetts","0.145","0.139","0.150"
"Michigan","0.168","0.168","0.167"
"Minnesota","0.120","0.122","0.118"
"Mississippi","0.220","0.198","0.241"
"Missouri","0.169","0.147","0.189"
"Montana","0.154","0.154","0.154"
"Nebraska","0.132","0.135","0.129"
"Nevada","0.185","0.188","0.182"
"New Hampshire","0.137","0.140","0.133"
"New Jersey","0.169","0.163","0.174"
"New Mexico","0.207","0.196","0.218"
"New York","0.172","0.172","0.171"
"North Carolina","0.190","0.182","0.196"
"North Dakota","0.141","0.146","0.135"
"Ohio","0.179","0.167","0.189"
"Oklahoma","0.205","0.205","0.205"
"Oregon","0.156","0.154","0.159"
"Pennsylvania","0.171","0.166","0.175"
"Rhode Island","0.152","0.146","0.158"
"South Carolina","0.197","0.186","0.208"
"South Dakota","0.140","0.138","0.142"
"Tennessee","0.238","0.222","0.252"
"Texas","0.195","0.183","0.206"
"Utah","0.121","0.112","0.131"
"Vermont","0.117","0.120","0.114"
"Virginia","0.169","0.158","0.178"
"Washington","0.160","0.152","0.168"
"West Virginia","0.258","0.254","0.261"
"Wisconsin","0.155","0.142","0.168"
"Wyoming","0.137","0.130","0.145"
"Guam","0.202","0.182","0.222"
"Puerto Rico","0.354","0.301","0.401"
"U.S. Virgin Islands","N/A","N/A","N/A"

"Notes"
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2019 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set."


Footnotes
"1. US totals exclude data from the territories."
