"Title: Adults Who Report Fair or Poor Health Status by Sex | KFF"
"Timeframe: 2013"
"Location","All Adults","Male","Female",Footnotes
"United States","0.180","0.170","0.188","1"
"Alabama","0.228","0.215","0.240"
"Alaska","0.150","0.141","0.159"
"Arizona","0.167","0.175","0.159"
"Arkansas","0.241","0.247","0.235"
"California","0.189","0.179","0.199"
"Colorado","0.131","0.123","0.139"
"Connecticut","0.132","0.125","0.139"
"Delaware","0.173","0.163","0.183"
"District of Columbia","0.127","0.128","0.127"
"Florida","0.195","0.184","0.206"
"Georgia","0.191","0.175","0.205"
"Hawaii","0.138","0.133","0.143"
"Idaho","0.142","0.150","0.134"
"Illinois","0.169","0.161","0.177"
"Indiana","0.181","0.172","0.189"
"Iowa","0.144","0.139","0.148"
"Kansas","0.154","0.151","0.157"
"Kentucky","0.233","0.224","0.242"
"Louisiana","0.227","0.219","0.236"
"Maine","0.149","0.151","0.147"
"Maryland","0.150","0.149","0.151"
"Massachusetts","0.138","0.128","0.147"
"Michigan","0.177","0.173","0.181"
"Minnesota","0.124","0.127","0.121"
"Mississippi","0.244","0.221","0.266"
"Missouri","0.184","0.183","0.186"
"Montana","0.154","0.153","0.154"
"Nebraska","0.139","0.134","0.144"
"Nevada","0.172","0.161","0.184"
"New Hampshire","0.126","0.131","0.121"
"New Jersey","0.166","0.154","0.177"
"New Mexico","0.208","0.201","0.214"
"New York","0.181","0.165","0.195"
"North Carolina","0.192","0.190","0.194"
"North Dakota","0.147","0.142","0.152"
"Ohio","0.181","0.180","0.183"
"Oklahoma","0.206","0.202","0.210"
"Oregon","0.174","0.174","0.174"
"Pennsylvania","0.169","0.152","0.185"
"Rhode Island","0.162","0.152","0.172"
"South Carolina","0.197","0.187","0.207"
"South Dakota","0.126","0.125","0.128"
"Tennessee","0.231","0.222","0.240"
"Texas","0.192","0.170","0.212"
"Utah","0.125","0.112","0.138"
"Vermont","0.121","0.127","0.115"
"Virginia","0.159","0.146","0.171"
"Washington","0.157","0.155","0.159"
"West Virginia","0.257","0.254","0.259"
"Wisconsin","0.154","0.153","0.155"
"Wyoming","0.152","0.144","0.161"
"Guam","0.203","0.202","0.205"
"Puerto Rico","0.354","0.290","0.410"
"U.S. Virgin Islands","N/A","N/A","N/A"

"Notes"
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2019 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set."


Footnotes
"1. US totals exclude data from the territories."
