"Title: Adults Who Report Fair or Poor Health Status by Sex | KFF"
"Timeframe: 2018"
"Location","All Adults","Male","Female",Footnotes
"United States","0.184","0.175","0.192","1"
"Alabama","0.229","0.209","0.247"
"Alaska","0.156","0.151","0.160"
"Arizona","0.194","0.170","0.216"
"Arkansas","0.247","0.230","0.264"
"California","0.181","0.172","0.189"
"Colorado","0.141","0.133","0.148"
"Connecticut","0.138","0.130","0.145"
"Delaware","0.172","0.153","0.189"
"District of Columbia","0.135","0.132","0.138"
"Florida","0.208","0.207","0.209"
"Georgia","0.191","0.181","0.200"
"Hawaii","0.163","0.169","0.156"
"Idaho","0.159","0.150","0.164"
"Illinois","0.168","0.159","0.176"
"Indiana","0.193","0.179","0.205"
"Iowa","0.143","0.138","0.146"
"Kansas","0.170","0.162","0.177"
"Kentucky","0.235","0.223","0.248"
"Louisiana","0.222","0.223","0.220"
"Maine","0.181","0.185","0.175"
"Maryland","0.159","0.151","0.165"
"Massachusetts","0.142","0.146","0.137"
"Michigan","0.193","0.183","0.201"
"Minnesota","0.135","0.134","0.135"
"Mississippi","0.233","0.222","0.244"
"Missouri","0.204","0.188","0.218"
"Montana","0.151","0.148","0.154"
"Nebraska","0.145","0.138","0.152"
"Nevada","0.206","0.175","0.235"
"New Hampshire","0.134","0.138","0.131"
"New Jersey","0.167","0.151","0.182"
"New Mexico","0.215","0.209","0.221"
"New York","0.171","0.153","0.187"
"North Carolina","0.191","0.182","0.200"
"North Dakota","0.139","0.143","0.134"
"Ohio","0.187","0.183","0.192"
"Oklahoma","0.217","0.197","0.237"
"Oregon","0.187","0.187","0.187"
"Pennsylvania","0.189","0.180","0.195"
"Rhode Island","0.173","0.175","0.171"
"South Carolina","0.189","0.187","0.192"
"South Dakota","0.146","0.150","0.141"
"Tennessee","0.227","0.220","0.235"
"Texas","0.191","0.177","0.205"
"Utah","0.145","0.142","0.147"
"Vermont","0.138","0.146","0.129"
"Virginia","0.173","0.170","0.177"
"Washington","0.157","0.158","0.157"
"West Virginia","0.263","0.264","0.261"
"Wisconsin","0.157","0.145","0.168"
"Wyoming","0.160","0.168","0.152"
"Guam","0.220","0.215","0.225"
"Puerto Rico","0.350","0.313","0.384"
"U.S. Virgin Islands","N/A","N/A","N/A"

"Notes"
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2019 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set."


Footnotes
"1. US totals exclude data from the territories."
