"Title: Teen Birth Rate per 1,000 Population Ages 15-19 | KFF"
"Timeframe: 2013"
"Location","Teen Birth Rate per 1,000",Footnotes
"United States","26.5","1"
"Alabama","34.3"
"Alaska","30.3"
"Arizona","33.1"
"Arkansas","43.5"
"California","23.6"
"Colorado","23.4"
"Connecticut","12.9"
"Delaware","24.7"
"District of Columbia","32.1"
"Florida","24.6"
"Georgia","30.5"
"Hawaii","25.1"
"Idaho","25.7"
"Illinois","24.6"
"Indiana","30.3"
"Iowa","22.1"
"Kansas","29.6"
"Kentucky","39.5"
"Louisiana","39.2"
"Maine","17.4"
"Maryland","19.4"
"Massachusetts","12.1"
"Michigan","23.6"
"Minnesota","16.8"
"Mississippi","42.6"
"Missouri","30"
"Montana","27.9"
"Nebraska","24.9"
"Nevada","30.3"
"New Hampshire","12.6"
"New Jersey","14.8"
"New Mexico","43.3"
"New York","17.7"
"North Carolina","28.4"
"North Dakota","24.1"
"Ohio","27.2"
"Oklahoma","42.9"
"Oregon","21.6"
"Pennsylvania","20.9"
"Rhode Island","17.7"
"South Carolina","31.6"
"South Dakota","29.1"
"Tennessee","34.7"
"Texas","41"
"Utah","20.6"
"Vermont","14.5"
"Virginia","20.1"
"Washington","20.5"
"West Virginia","40.1"
"Wisconsin","19.6"
"Wyoming","29.6"
"American Samoa","42.9"
"Guam","54.1"
"Northern Mariana Islands","44.3"
"Puerto Rico","44.6"
"Virgin Islands","N/A"

"Notes"
"Data are by place of residence. Population includes females 15-19 years old."

"Sources"
"The Centers for Disease Control and Prevention (CDC), [National Vital Statistics Reports (NVSR), Vol. 64, No. 1: Births: Final Data for 2013](http://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf), January 15, 2015."

"Definitions"
"*N/A*: Data not available."


Footnotes
"1. US teen birth rate excludes data from the territories."
