"Title: Teen Birth Rate per 1,000 Population Ages 15-19 | KFF"
"Timeframe: 2017"
"Location","Teen Birth Rate per 1,000",Footnotes
"United States","18.8","1"
"Alabama","27"
"Alaska","22"
"Arizona","22"
"Arkansas","32.8"
"California","15.1"
"Colorado","16.1"
"Connecticut","8.8"
"Delaware","18.5"
"District of Columbia","21"
"Florida","18.2"
"Georgia","21.9"
"Hawaii","19.1"
"Idaho","18.6"
"Illinois","17.4"
"Indiana","22.8"
"Iowa","16"
"Kansas","21.3"
"Kentucky","29"
"Louisiana","29.1"
"Maine","13.1"
"Maryland","14.2"
"Massachusetts","8.1"
"Michigan","16.4"
"Minnesota","12.1"
"Mississippi","31"
"Missouri","22.5"
"Montana","21.2"
"Nebraska","18.1"
"Nevada","21.9"
"New Hampshire","8.4"
"New Jersey","10.3"
"New Mexico","27.9"
"New York","12.5"
"North Carolina","20.6"
"North Dakota","16.2"
"Ohio","20.8"
"Oklahoma","29.7"
"Oregon","15"
"Pennsylvania","14.8"
"Rhode Island","11.4"
"South Carolina","21.7"
"South Dakota","22.6"
"Tennessee","26.6"
"Texas","27.6"
"Utah","15.2"
"Vermont","10.1"
"Virginia","15"
"Washington","14.8"
"West Virginia","27.1"
"Wisconsin","13.8"
"Wyoming","24.6"
"American Samoa","38.4"
"Guam","40.1"
"Northern Mariana Islands","16.1"
"Puerto Rico","24.3"
"Virgin Islands","N/A"

"Notes"
"Data are by place of residence. Population includes females 15-19 years old."

"Sources"
"The Centers for Disease Control and Prevention (CDC), [National Vital Statistics Reports (NVSR), Vol. 67, No. 8: Births: Final Data for 2017](https://www.cdc.gov/nchs/data/nvsr/nvsr67/nvsr67_08-508.pdf), November 7, 2018."

"Definitions"
"*N/A*: Data not available."


Footnotes
"1. US teen birth rate excludes data from the territories."
