"Title: Teen Birth Rate per 1,000 Population Ages 15-19 | KFF"
"Timeframe: 2015"
"Location","Teen Birth Rate per 1,000",Footnotes
"United States","22.3","1"
"Alabama","30.1"
"Alaska","29.3"
"Arizona","26.3"
"Arkansas","38"
"California","19"
"Colorado","19.3"
"Connecticut","10.1"
"Delaware","18.1"
"District of Columbia","25.6"
"Florida","20.8"
"Georgia","25.6"
"Hawaii","20.6"
"Idaho","22.5"
"Illinois","21.1"
"Indiana","26"
"Iowa","18.6"
"Kansas","25.5"
"Kentucky","32.4"
"Louisiana","34.1"
"Maine","15.4"
"Maryland","17"
"Massachusetts","9.4"
"Michigan","19.4"
"Minnesota","13.7"
"Mississippi","34.8"
"Missouri","25"
"Montana","25.3"
"Nebraska","22"
"Nevada","27.6"
"New Hampshire","10.9"
"New Jersey","12.1"
"New Mexico","34.6"
"New York","14.6"
"North Carolina","23.6"
"North Dakota","22.2"
"Ohio","23.2"
"Oklahoma","34.8"
"Oregon","19"
"Pennsylvania","17.7"
"Rhode Island","14.3"
"South Carolina","26.2"
"South Dakota","26.4"
"Tennessee","30.5"
"Texas","34.6"
"Utah","17.6"
"Vermont","11.6"
"Virginia","17.1"
"Washington","17.6"
"West Virginia","31.9"
"Wisconsin","16.2"
"Wyoming","29.2"
"American Samoa","46.9"
"Guam","38.3"
"Northern Mariana Islands","36.9"
"Puerto Rico","33.9"
"Virgin Islands","39.1"

"Notes"
"Data are by place of residence. Population includes females 15-19 years old."

"Sources"
"The Centers for Disease Control and Prevention (CDC), [National Vital Statistics Reports (NVSR), Vol. 66, No. 1: Births: Final Data for 2015](https://www.cdc.gov/nchs/data/nvsr/nvsr66/nvsr66_01.pdf), January 5, 2017."

"Definitions"
"*N/A*: Data not available."


Footnotes
"1. US teen birth rate excludes data from the territories."
