"Title: Adults Who Report Fair or Poor Health Status by Sex | KFF"
"Timeframe: 2017"
"Location","All Adults","Male","Female",Footnotes
"United States","0.184","0.227","0.193","1"
"Alabama","0.233","0.170","0.239"
"Alaska","0.177","0.188","0.181"
"Arizona","0.192","0.224","0.196"
"Arkansas","0.242","0.170","0.259"
"California","0.176","0.139","0.181"
"Colorado","0.145","0.144","0.151"
"Connecticut","0.145","0.099","0.147"
"Delaware","0.188","0.182","0.196"
"District of Columbia","0.108","0.180","0.116"
"Florida","0.194","0.176","0.205"
"Georgia","0.185","0.216","0.193"
"Hawaii","0.148","0.154","0.145"
"Idaho","0.151","0.161","0.149"
"Illinois","0.179","0.195","0.197"
"Indiana","0.206","0.141","0.217"
"Iowa","0.154","0.161","0.166"
"Kansas","0.167","0.250","0.171"
"Kentucky","0.255","0.207","0.259"
"Louisiana","0.229","0.175","0.250"
"Maine","0.161","0.140","0.149"
"Maryland","0.154","0.139","0.167"
"Massachusetts","0.152","0.177","0.165"
"Michigan","0.184","0.132","0.191"
"Minnesota","0.127","0.238","0.123"
"Mississippi","0.253","0.169","0.266"
"Missouri","0.190","0.159","0.209"
"Montana","0.160","0.141","0.162"
"Nebraska","0.149","0.188","0.158"
"Nevada","0.203","0.148","0.218"
"New Hampshire","0.139","0.176","0.130"
"New Jersey","0.184","0.199","0.191"
"New Mexico","0.214","0.164","0.230"
"New York","0.173","0.181","0.182"
"North Carolina","0.191","0.143","0.200"
"North Dakota","0.153","0.188","0.165"
"Ohio","0.189","0.198","0.190"
"Oklahoma","0.216","0.174","0.231"
"Oregon","0.176","0.190","0.177"
"Pennsylvania","0.186","0.323","0.183"
"Rhode Island","0.172","0.189","0.184"
"South Carolina","0.193","0.147","0.196"
"South Dakota","0.143","0.205","0.140"
"Tennessee","0.213","0.183","0.219"
"Texas","0.208","0.175","0.232"
"Utah","0.136","0.132","0.140"
"Vermont","0.141","0.144","0.139"
"Virginia","0.164","0.152","0.175"
"Washington","0.160","0.155","0.165"
"West Virginia","0.259","0.246","0.272"
"Wisconsin","0.169","0.166","0.172"
"Wyoming","0.154","0.146","0.163"
"Guam","0.219","0.150","0.223"
"Puerto Rico","0.371","0.160","0.413"
"U.S. Virgin Islands","N/A","N/A","N/A"

"Notes"
"Data based on the Behavioral Risk Factor Surveillance System, an ongoing, state-based, random-digit-dialed telephone survey of non-institutionalized civilian adults aged 18 years and older. Information about the BRFSS is available at [http://www.cdc.gov/brfss/index.html](http://www.cdc.gov/brfss/index.html)."

"Sources"
"KFF analysis of the Centers for Disease Control and Prevention (CDC)'s 2013-2019 Behavioral Risk Factor Surveillance System (BRFSS)."

"Definitions"
"*N/A*: Not applicable; US Virgin Islands is only included in BRFSS in 2016. Due to limited data, New Jersey was not included in the 2019 BRFSS aggregated data set."


Footnotes
"1. US totals exclude data from the territories."
